ID,Severity,Priority,Module / Surface,File Name,Repo Path (file:line),Category,Finding (title),Reason (detail),Impact,Risk,Recommendation,Fix / Remediation,Owner,Status,Target Sprint,Regression test needed?,Notes
SPINR-061,Major,P1,Backend · Fares & Promos,promotions.py,backend/routes/admin/promotions.py:233,Financial,Insert-failure fallback silently strips private-promo targeting fields,"If the promotions insert fails for any reason, the retry re-inserts without assigned_user_ids/inactive_days/min_total_rides/max_total_rides, so a promo intended for specific users or segments is silently created with no targeting and becomes redeemable by everyone.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Only fall back on a missing-column error (inspect the PostgREST error code), otherwise re-raise;","Only fall back on a missing-column error (inspect the PostgREST error code), otherwise re-raise; if the fallback is taken, fail loudly or return a warning that the targeting fields were not stored.",,Open,,,
SPINR-062,Major,P1,Backend · Fares & Promos,fares.py,backend/routes/fares.py:235,Reporting / Data,Manual surge override above 2.5 is silently clamped in fare paths while dashboards show the raw value,"Admins may set a manual surge up to 10.0 with written justification, but both fare builders unconditionally clamp to SURGE_CAP=2.5 regardless of surge_source, so the justified override is never actually charged — while get_surge_status reports the raw stored multiplier, meaning the admin dashboard advertises a multiplier (e.g. 3.0x) that estimates and bookings price at 2.5x.","Dashboards, metrics, receipts, or tax records show wrong numbers, undermining decisions and audits.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Either honour manual surge_source up to the validated 10.0 in the fare paths (cap only auto), or reject admin values above 2.5 outright — and make get_surge_status report the effective (charged) multiplier in either case.","Either honour manual surge_source up to the validated 10.0 in the fare paths (cap only auto), or reject admin values above 2.5 outright — and make get_surge_status report the effective (charged) multiplier in either case.",,Open,,,
SPINR-063,Major,P1,Backend · Fares & Promos,promotions.py,backend/routes/promotions.py:237,Financial,total_budget cap is dead — budget_used is never incremented,"Both promo validation paths gate on promo.budget_used >= total_budget, but no code anywhere in the backend ever increments budget_used, so a budget-capped promo never stops discounting.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Increment budget_used atomically (RPC like increment_promo_uses, e.g.","Increment budget_used atomically (RPC like increment_promo_uses, e.g. UPDATE promotions SET budget_used = budget_used + :discount WHERE id = :id AND (total_budget = 0 OR budget_used + :discount <= total_budget) RETURNING) inside _record_promo_application, and 409 when the budget is exhausted.",,Open,,,
SPINR-064,Major,P1,Backend · Fares & Promos,promotions.py,backend/routes/promotions.py:341,Financial,POST /promo/apply consumes the promo but never discounts the ride,"The standalone /promo/apply endpoint records a promo_applications row and increments promotions.uses but never writes discount_amount/promo_code/promo_application_id/grand_total to the ride row, so the rider's per-user allowance and the promo's global uses are burned while settlement (which reads ride.discount_amount) charges full fare.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Have apply_promo persist subtotal_fare/discount_amount/promo_code/promo_application_id/grand_total on the ride exactly like rides/booking.py:940-950, reject rides that already have promo_application_id set or are past in_progress, and pass ","Have apply_promo persist subtotal_fare/discount_amount/promo_code/promo_application_id/grand_total on the ride exactly like rides/booking.py:940-950, reject rides that already have promo_application_id set or are past in_progress, and pass ride.grand_total (not total_fare) for free_ride promos — or remove the endpoint if booking-time application is the only supported flow.",,Open,,,
SPINR-065,Major,P1,Backend · Fares & Promos,fare_service.py,backend/services/fare_service.py:386,Legal / Regulatory,Tax not recalculated when fare is recalculated at completion — GST/PST receipt lines wrong,"When actual distance differs from the estimate (and fare_lock is off), recalculate_fare_for_distance builds the new grand_total using the booking-time tax_amount, and the completion flow never recomputes tax, so the receipt's GST (5%) / PST (6%) line items no longer equal the required percentages of the recalculated fare — over-collecting tax on shorter trips and under-collecting on longer ones.","Creates regulatory, insurance, or tax exposure under Saskatchewan / SGI / CRA rules.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Recompute area fees and GST/PST from the recalculated taxable base inside recalculate_fare_for_distance (using the booking-time rates stored on the ride) and return the new tax_amount/area totals with the adjustment.,Recompute area fees and GST/PST from the recalculated taxable base inside recalculate_fare_for_distance (using the booking-time rates stored on the ride) and return the new tax_amount/area totals with the adjustment.,,Open,,,
SPINR-066,Major,P1,Backend · Fares & Promos,quest_tracker.py,backend/utils/quest_tracker.py:90,Correctness / Bug,Quest expiry uses raw string comparison — crashes on NULL end_date and expires offset-timezone quests early,"update_quest_progress_on_ride_complete compares quest.end_date to now as raw strings: a NULL end_date raises TypeError (None < str) so that quest's progress is never advanced, and an end_date stored with a non-UTC offset (e.g. '...T20:00:00-06:00') compares lexicographically as already past up to 6 hours early, flipping progress to 'expired' and discarding rides completed inside the real window — while quests.py uses proper _parse_dt so the quest still shows active to the driver.","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Reuse quests.py's _parse_dt: parse end_date to a tz-aware datetime, treat None as open-ended, and compare datetimes.","Reuse quests.py's _parse_dt: parse end_date to a tz-aware datetime, treat None as open-ended, and compare datetimes.",,Open,,,
SPINR-067,Major,P1,Backend · Fares & Promos,referral_payout.py,backend/utils/referral_payout.py:201,Financial,Referral kind inferred from 'RIDE' code prefix — custom rider referral codes are never paid,"The payout loop classifies a referral as rider vs driver solely by whether the stored code starts with 'RIDE', but rider referral codes may be a stored custom referral_code with any prefix (users.py honours user.referral_code first); such referrals are classified as driver referrals, the referee has no drivers row, _process_one returns silently, and the $5/$5 rewards owed to both sides are never paid and never expired.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Store an explicit referral kind (or the referrer's user id + kind) on the referee row at application time and dispatch on that, instead of inferring from the code prefix;","Store an explicit referral kind (or the referrer's user id + kind) on the referee row at application time and dispatch on that, instead of inferring from the code prefix; backfill and alert on referees whose kind resolution currently dead-ends.",,Open,,,
SPINR-068,Major,P1,Backend · Payments,payments.py,backend/routes/payments.py:391,Correctness / Bug,confirm_payment strands ride in payment_status='processing' with no release on failure,"After claim_ride_payment_processing flips the ride pending->processing, any failure (Stripe retrieve error, timeout) raises 500 without releasing the claim, and because the ride's payment_intent_id is only written at the end, the payment_retry loop skips it forever.","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","On any exception after the claim, atomically reset payment_status processing->pending (mirroring auto_settle_guest_corporate's release), and/or persist payment_intent_id onto the ride before the Stripe retrieve so retry/heal paths can recov","On any exception after the claim, atomically reset payment_status processing->pending (mirroring auto_settle_guest_corporate's release), and/or persist payment_intent_id onto the ride before the Stripe retrieve so retry/heal paths can recover it.",,Open,,,
SPINR-069,Major,P1,Backend · Payments,payments.py,backend/routes/payments.py:471,Financial,confirm_payment writes raw Stripe intent.status ('succeeded') into ride.payment_status instead of 'paid',"A successful client-confirmed payment leaves the ride with payment_status='succeeded', a value no other code recognizes as settled, so the ride escapes reconciliation and can be double-collected or permanently blocked from re-confirmation.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Map intent.status=='succeeded' to payment_status='paid' (plus paid_at), map non-terminal statuses back to 'pending'/'failed' rather than writing raw Stripe vocabulary, and update the test.","Map intent.status=='succeeded' to payment_status='paid' (plus paid_at), map non-terminal statuses back to 'pending'/'failed' rather than writing raw Stripe vocabulary, and update the test.",,Open,,,
SPINR-070,Major,P1,Backend · Payments,webhooks.py,backend/routes/webhooks.py:851,Financial,charge.refunded marks ride fully 'refunded' on any partial refund,"charge.refunded fires for partial refunds too (amount_refunded is the cumulative refunded total, not necessarily the full charge), but the handler unconditionally sets payment_status='refunded', so a $2 partial refund marks the whole ride refunded — a terminal state that blocks later invoice settlement and misstates revenue/tax reporting.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Compare amount_refunded to the charge's captured amount;,"Compare amount_refunded to the charge's captured amount; set payment_status='refunded' only when fully refunded, otherwise a 'partially_refunded' state (or keep 'paid') while still recording refund_amount and the ledger reversal.",,Open,,,
SPINR-071,Major,P1,Backend · Payments,webhooks.py,backend/routes/webhooks.py:1131,Correctness / Bug,"invoice.paid/payment_failed read top-level invoice.subscription, removed in the pinned Basil API version","Under the pinned Stripe API version 2025-04-30.basil the top-level `invoice.subscription` field no longer exists, so `invoice.get(""subscription"")` is always None and Spinr Pass renewals are never applied (rows never extended, renewal ledger rows never recorded, past_due never flagged).","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Add a Basil-aware extractor mirroring _extract_invoice_payment_intent: try invoice['subscription'], then invoice['parent']['subscription_details']['subscription'], then an expanded Invoice.retrieve fallback;","Add a Basil-aware extractor mirroring _extract_invoice_payment_intent: try invoice['subscription'], then invoice['parent']['subscription_details']['subscription'], then an expanded Invoice.retrieve fallback; use it in both invoice.paid and invoice.payment_failed.",,Open,,,
SPINR-072,Major,P1,Backend · Payments,payment_service.py,backend/services/payment_service.py:127,Financial,record_payment_event has no idempotency key — financial_events can be double-written,"The 7-year tax/audit ledger insert has no dedup on (ride_id, payment_intent_id, event_type), and it is reachable from multiple concurrent paths (settle_card, payment_intent.succeeded webhook, _handle_ride_invoice_paid, payment_retry requires_capture branch, manual event replay), so races or replays append duplicate charge rows that overstate collected revenue and GST remittance.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Add a unique index on financial_events (event_type, ride_id, ref) (ref = payment_intent_id) and make record_payment_event insert-ignore-conflict, or dedupe inside the function before insert.","Add a unique index on financial_events (event_type, ride_id, ref) (ref = payment_intent_id) and make record_payment_event insert-ignore-conflict, or dedupe inside the function before insert.",,Open,,,
SPINR-073,Major,P1,Backend · Payments,idempotency.py,backend/utils/idempotency.py:217,Correctness / Bug,Idempotency decorator caches non-dict returns (402 JSONResponse) as HTTP 200 with a repr-string body,"When a handler returns a JSONResponse (e.g. create_payment_intent's 402 'action_required' 3DS response), the decorator caches it as status 200 with body str(JSONResponse) via json.dumps(default=str); a client retry with the same Idempotency-Key then receives 200 with a garbage string body, breaking the 3DS flow and looking like success.","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Detect Response/JSONResponse results: cache their real status_code and decoded body (or skip caching non-2xx), never hard-code 200.","Detect Response/JSONResponse results: cache their real status_code and decoded body (or skip caching non-2xx), never hard-code 200.",,Open,,,
SPINR-074,Major,P1,Backend · Payments,payment_retry.py,backend/utils/payment_retry.py:445,Financial,Stranded-hold capture collects the tip from the rider but never credits it to driver_earnings,"The requires_capture branch captures grand_total + tip_amount from the rider's card, then marks the ride paid without applying _tip_ride_update, so the driver is underpaid by the tip amount that was actually collected.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Merge `**_tip_ride_update(ride, tip_d)` into the paid-write in the requires_capture branch.","Merge `**_tip_ride_update(ride, tip_d)` into the paid-write in the requires_capture branch.",,Open,,,
SPINR-075,Major,P1,Backend · Reporting / Tax,tax_exports.py,backend/routes/drivers/tax_exports.py:45,Reporting / Data,T4A on-demand summary buckets by created_at while annual job uses ride_completed_at,"The on-demand T4A summary counts a driver's rides for a year by created_at, but the T4A annual issuance/eligibility job sums earnings by ride_completed_at, so the notification and the downloadable slip can report different income and a ride straddling year-end lands in different tax years.","Dashboards, metrics, receipts, or tax records show wrong numbers, undermining decisions and audits.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Bucket the on-demand T4A summary by ride_completed_at (add a completed-date range filter) so it matches the annual job and reflects when income was actually earned.,Bucket the on-demand T4A summary by ride_completed_at (add a completed-date range filter) so it matches the annual job and reflects when income was actually earned.,,Open,,,
SPINR-076,Major,P1,Backend · Reporting / Tax,email_receipt.py,backend/utils/email_receipt.py:132,Financial,HTML email receipt omits promo/discount line — rows exceed printed Total,"The emailed HTML receipt renders base/fees/subtotal/tax/tip but no discount line, while the grand total prefers the persisted grand_total (net of discount), so a discounted ride's visible rows sum higher than the shown Total.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Emit a discount line (label 'Promo (code)' when promo_code present, else 'Discount') from ride['discount_amount'] before the Total, as the JSON receipt path (_build_fare_breakdown) already does.","Emit a discount line (label 'Promo (code)' when promo_code present, else 'Discount') from ride['discount_amount'] before the Total, as the JSON receipt path (_build_fare_breakdown) already does.",,Open,,,
SPINR-077,Major,P1,Backend · Reporting / Tax,receipt_pdf.py,backend/utils/receipt_pdf.py:45,Financial,PDF receipt omits promo/discount line — rows don't reconcile to total,"generate_receipt_pdf's _fare_lines never emits a discount/promo row, yet the grand total is taken from persisted grand_total which is net of discount, so the listed rows sum to MORE than the printed Total whenever a promo was applied.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Add a negative 'Promo (code)' / 'Discount' line from ride.get('discount_amount') before the tax rows (mirroring routes/rides/_shared.py:422) so the displayed rows reconcile to the persisted grand_total.,Add a negative 'Promo (code)' / 'Discount' line from ride.get('discount_amount') before the tax rows (mirroring routes/rides/_shared.py:422) so the displayed rows reconcile to the persisted grand_total.,,Open,,,
SPINR-078,Major,P1,Rider App · Account,emergency-contacts.tsx,rider-app/app/emergency-contacts.tsx:60,User Experience,Emergency contacts load failure silently shows empty state,"If GET /users/emergency-contacts fails, the error is swallowed and the screen renders the 'No emergency contacts yet' empty state, telling the rider they have no safety contacts when they may actually have several.","Riders or drivers hit confusion, dead ends, wrong information, or silent failures.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","On fetch failure, set an error flag and render a distinct 'Couldn't load your contacts — tap to retry' state (with a retry button) instead of the empty state, and use getApiErrorMessage in a toast;","On fetch failure, set an error flag and render a distinct 'Couldn't load your contacts — tap to retry' state (with a retry button) instead of the empty state, and use getApiErrorMessage in a toast; per CLAUDE.md, do not silently swallow errors on a safety surface.",,Open,,,
SPINR-079,Major,P1,Rider App · Booking,index.tsx,rider-app/app/(tabs)/index.tsx:177,Compliance (PIPEDA),Home screen sends raw GPS coordinates to third-party open-meteo weather API,"The home screen sends the rider's exact latitude/longitude directly to an external third-party service (api.open-meteo.com) purely to show a temperature, leaking precise GPS to an out-of-country third party with no stated purpose or consent.","Breaks a Canadian privacy (PIPEDA) data-handling rule — PII or GPS exposure, or wrong retention.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Proxy the weather call through the Spinr backend, or round the coordinates to ~1 decimal (city-level) before calling open-meteo, and document the purpose.","Proxy the weather call through the Spinr backend, or round the coordinates to ~1 decimal (city-level) before calling open-meteo, and document the purpose. Remove the direct client-to-third-party GPS call.",,Open,,,
SPINR-080,Major,P1,Rider App · Booking,ride-completed.tsx,rider-app/app/ride-completed.tsx:361,Financial,"Google Pay path re-rates driver, double-crediting the tip into driver_earnings","handleGooglePay calls rateRide unconditionally without checking hasRatedRef, so if the rider first taps 'Pay & Done' (which rates and posts the tip via /rate) and that payment fails, then pays via Google Pay, /rate is posted a second time and the driver's earnings accumulate the tip twice while only one tip is charged.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Guard the rateRide call in handleGooglePay with `if (!hasRatedRef.current) { ...;,"Guard the rateRide call in handleGooglePay with `if (!hasRatedRef.current) { ...; hasRatedRef.current = true; }`, mirroring handleSubmit.",,Open,,,
SPINR-081,Major,P1,Rider App · Booking,ride-options.tsx,rider-app/app/ride-options.tsx:232,User Experience,"Fare-load error UI is dead code — store swallows the error so a failed estimate fetch leaves a blank, stuck screen","handleFetchEstimates wraps `await fetchEstimates()` in try/catch to set fetchError, but the store's fetchEstimates catches its own errors and never rethrows, so the catch never runs and the 'Could not load fares. Tap to retry' retry UI can never appear.","Riders or drivers hit confusion, dead ends, wrong information, or silent failures.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Either rethrow from the store's fetchEstimates so the screen catch fires, or drive the ride-options error state off the store's `error` field (useRideStore(s=>s.error)) instead of the local fetchError that is never set.","Either rethrow from the store's fetchEstimates so the screen catch fires, or drive the ride-options error state off the store's `error` field (useRideStore(s=>s.error)) instead of the local fetchError that is never set.",,Open,,,
SPINR-082,Major,P1,Backend · Rides (booking),_shared.py,backend/routes/rides/_shared.py:216,Financial,_reestimate_fare_for_stops drops the airport surcharge and the minimum-fare clamp from the recomputed total,"The recomputed total after a stop mutation is base + distance + time + booking_fee only, omitting airport_fee (which calculate_fare includes in total_fare) and skipping the minimum-fare clamp, so an airport ride loses its surcharge from total_fare/estimated_fare and a stop removal can price the ride below the configured minimum fare.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Include `_d(ride.get(""airport_fee"", 0) or 0)` in new_total and apply the minimum-fare clamp (fetch minimum_fare from the fare config or persist it on the ride row at booking) before writing estimated_fare/total_fare.","Include `_d(ride.get(""airport_fee"", 0) or 0)` in new_total and apply the minimum-fare clamp (fetch minimum_fare from the fare config or persist it on the ride row at booking) before writing estimated_fare/total_fare.",,Open,,,
SPINR-083,Major,P1,Backend · Rides (booking),booking.py,backend/routes/rides/booking.py:450,Compliance (PIPEDA),Geofence and estimate rejection logs write raw GPS coordinates (PIPEDA violation),"Booking and estimate geofence paths log rider pickup/dropoff/stop coordinates at 5-decimal (~1m) precision, which CLAUDE.md's PIPEDA rules explicitly forbid in logs ('Raw GPS coordinates (lat/lng) — log geohashed area at most'); these lines fire for every out-of-area booking attempt and every unmatched estimate.","Breaks a Canadian privacy (PIPEDA) data-handling rule — PII or GPS exposure, or wrong retention.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Log a geohash/rounded area (e.g.,"Log a geohash/rounded area (e.g. 2-decimal ≈ 1km) or just the service-area count and ride/rider correlation id, mirroring the matching.py fix.",,Open,,,
SPINR-084,Major,P1,Backend · Rides (booking),booking.py,backend/routes/rides/booking.py:590,Financial,Surge can be bypassed on an immediate ride by sending is_scheduled=true with no scheduled_time,"A client that sends is_scheduled=true but omits scheduled_time gets surge forced to 1.0 while the ride still dispatches immediately, letting any direct API caller (or modified app) evade surge pricing entirely during surge windows; the driver loses the surge portion of their earnings.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Key the surge exclusion on `_is_deferred_schedule` (scheduled_time present) instead of `body.is_scheduled or body.scheduled_time`, or add a model validator rejecting is_scheduled=True without scheduled_time.","Key the surge exclusion on `_is_deferred_schedule` (scheduled_time present) instead of `body.is_scheduled or body.scheduled_time`, or add a model validator rejecting is_scheduled=True without scheduled_time.",,Open,,,
SPINR-085,Major,P1,Backend · Rides (booking),booking.py,backend/routes/rides/booking.py:883,Financial,Pre-auth hold is orphaned when the ride insert fails after authorization (including the concurrent-duplicate idempotency path),"The card hold is placed before _insert_ride_with_code; if the insert then fails (rides_one_active_per_rider 409, ride_code exhaustion 503, or losing the idempotency race where the existing ride is returned), the just-created PaymentIntent hold is never cancelled — the rider's card keeps a fare+buffer hold for up to ~7 days with no ride row referencing it, and in the duplicate-request race the rider ends up with two simultaneous holds.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Wrap the insert in try/except and on any failure (or idempotent-reuse return) call cancel_authorization(ride_id, pi) for a hold created in this request before re-raising/returning.","Wrap the insert in try/except and on any failure (or idempotent-reuse return) call cancel_authorization(ride_id, pi) for a hold created in this request before re-raising/returning.",,Open,,,
SPINR-086,Major,P1,Backend · Rides (booking),cancellation.py,backend/routes/rides/cancellation.py:238,Financial,"Driver cancellation-fee payout is made even when the rider fee was not collected, and an uncollected fee is never retried or blocked","pay_driver_cancellation_fee runs unconditionally after the rider charge attempt, so a declined card, an empty wallet (charge clamped to balance, down to $0), or a missing wallet row still pays the driver the full fee; the failed fee is then never recovered because payment_retry excludes cancelled rides and create_ride's unpaid-ride block only matches status=completed.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Record uncollected cancellation fees as a receivable (e.g.,"Record uncollected cancellation fees as a receivable (e.g. extend the unpaid-ride block to cancelled rides with payment_status='failed', or negative wallet balance), or gate/flag the driver payout for reconciliation when the rider-side charge did not succeed; return the actually-collected amount in the response.",,Open,,,
SPINR-087,Major,P1,Backend · Rides (booking),matching.py,backend/routes/rides/matching.py:1027,Correctness / Bug,"_offer_timeout_handler reverts the ride to searching with an unconditional id-only update, clobbering a concurrent accept","Between the status check and the revert there are multiple awaits (miss-streak Redis call, app-settings read, driver release, insurance write); a driver accept landing in that window (valid: accept_filter matches status=driver_assigned + driver_id) is silently overwritten back to searching with driver_id=None, so the driver's app shows an accepted ride while the ride re-dispatches to someone else — and the handler has already flipped the accepting driver back to is_available=True (or fully offline in the auto-offline branch).","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Make the revert conditional — `update_one(""rides"", {""id"": ride_id, ""status"": RideStatus.DRIVER_ASSIGNED, ""driver_id"": driver_id}, ...)` — and skip the driver-release/miss-streak/notify side effects when zero rows match.","Make the revert conditional — `update_one(""rides"", {""id"": ride_id, ""status"": RideStatus.DRIVER_ASSIGNED, ""driver_id"": driver_id}, ...)` — and skip the driver-release/miss-streak/notify side effects when zero rows match.",,Open,,,
SPINR-088,Major,P1,Backend · Rides (booking),matching.py,backend/routes/rides/matching.py:1296,Correctness / Bug,"ride_search_timeout cancels with a non-atomic id-only update, racing a last-second driver accept","Offers can still be pending right up to the 300s deadline (re-dispatch every 10s with 15s offer windows), so a driver accepting at ~300s can flip the ride to driver_accepted after the handler's get_ride check but before its unconditional update_ride — the accepted ride is then overwritten to cancelled with no driver release (driver stays is_available=False and drives to a pickup for a cancelled ride, and no driver-facing WS/push is sent because this path assumes no driver exists).","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Use a conditional claim: `update_one(""rides"", {""id"": r_id, ""status"": RideStatus.SEARCHING}, base_update)` and only emit the cancellation events when a row was claimed.","Use a conditional claim: `update_one(""rides"", {""id"": r_id, ""status"": RideStatus.SEARCHING}, base_update)` and only emit the cancellation events when a row was claimed.",,Open,,,
SPINR-089,Major,P1,Backend · Rides (booking),queries.py,backend/routes/rides/queries.py:41,Security,Rate-limit decorators on all rides read endpoints are applied above @router.get and are therefore dead,"In queries.py the @ride_read_limit decorator is placed ABOVE @router.get, so FastAPI registers the unwrapped function and the limiter wrapper never executes — GET /rides/active, /rides/history, /rides/scheduled and /rides/{ride_id} have no per-route rate limiting at all, and GET /rides/stats (which scans up to 10,000 rows per call) has no limiter whatsoever.","Someone could read or change data they should not, or bypass a control.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Move @ride_read_limit below @router.get on all four endpoints and add a limiter to get_rider_stats;,Move @ride_read_limit below @router.get on all four endpoints and add a limiter to get_rider_stats; consider a regression test asserting the registered endpoint function is the rate-limit wrapper.,,Open,,,
SPINR-090,Major,P1,Backend · Rides (rating/receipts/safety),payments.py,backend/routes/rides/payments.py:113,Financial,POST /rides/{id}/tip credits the driver a tip that is never collected from the rider,"add_tip writes tip_amount and driver_earnings (and rebuilds the T4A-feeding driver_earnings_snapshot) but never charges the rider's card, wallet, or corporate account, so every tip through this endpoint is pure platform loss at payout time.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Make add_tip actually settle the tip: charge the saved card via an off-session PaymentIntent (or debit the wallet via the idempotent RPC) and only write tip_amount/driver_earnings after the charge succeeds;,"Make add_tip actually settle the tip: charge the saved card via an off-session PaymentIntent (or debit the wallet via the idempotent RPC) and only write tip_amount/driver_earnings after the charge succeeds; alternatively disable the endpoint until a charge path exists, since process-payment already handles tips on the normal flow.",,Open,,,
SPINR-091,Major,P1,Backend · Rides (rating/receipts/safety),rating.py,backend/routes/rides/rating.py:94,Correctness / Bug,"Re-rating the same ride re-enters the rolling average, letting one rider skew a driver's rating","rate_driver never checks whether the ride was already rated, so every repeat call increments drivers.total_ratings and folds another rating into the rolling average — a single rider can repeatedly 1-star one completed ride to tank a driver's public rating (or repeatedly 5-star to inflate it).","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Reject (or make idempotent) a second rating: `if ride.get(""rider_rating"") is not None: raise HTTPException(400, ""ERR_ALREADY_RATED"")` before updating;","Reject (or make idempotent) a second rating: `if ride.get(""rider_rating"") is not None: raise HTTPException(400, ""ERR_ALREADY_RATED"")` before updating; for the aggregate, prefer an atomic SQL update (rating = (rating*total_ratings + :new)/(total_ratings+1), total_ratings = total_ratings+1) to also close the concurrent lost-update.",,Open,,,
SPINR-092,Major,P1,Backend · Rides (rating/receipts/safety),receipts.py,backend/routes/rides/receipts.py:84,Reporting / Data,"Cancelled-ride receipt shows the full booked fare, taxes, and grand_total instead of the cancellation fee actually charged","For cancelled rides the receipt's fare_breakdown and grand_total are built from the booking-time fare fields (base/distance/time fares, GST/PST tax_breakdown, grand_total), none of which were charged — the only amount actually collected (cancellation_fee_admin + cancellation_fee_driver) appears in a separate field and is excluded from the line items and total, so the receipt misstates both the amount charged and the GST/PST collected.","Dashboards, metrics, receipts, or tax records show wrong numbers, undermining decisions and audits.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","For status==cancelled, build the breakdown from the cancellation fee only (one 'Cancellation fee' line plus its actual tax treatment, if any) and set grand_total to cancellation_fee_admin + cancellation_fee_driver (0 when no fee was charged","For status==cancelled, build the breakdown from the cancellation fee only (one 'Cancellation fee' line plus its actual tax treatment, if any) and set grand_total to cancellation_fee_admin + cancellation_fee_driver (0 when no fee was charged); compute any fallback sum with _d()/_round() instead of float addition.",,Open,,,
